Cia;Codigo;DescripciÃ³n de artÃ­culo;Cod Barra;Peso;Cupo;CUPO PALLET;UNI EMPAQUE;CÃ³digos de artÃ­-culos alternativos;Descrip 3 Artic;TipoAlmac;Linea;Costo Und;Cod Jerarq 5;Cod Jerarq 1;Jerarq1;Cod Jerarq 2;Jeraq Item 2;Cod Jerarq 3;Jerarq3;Jerarq4;Categoria;Grupo Productos;Grupo;Groupo VAS;Peligroso;Cod Pre-pack;Fe y Hr Creac;Registro de hora de modificaciÃ³n;Usuario de modificaciÃ³n;Mod Host?;Es principal;Modif Interf?;SKU Dummy?;Empaq C/OLA;Fecha Mod Cubis;Sigue InvAtrib A;Sigue InvAtrib B;Sigue InvAtrib C;Sigue InvAtrib D;Sigue InvAtrib E;Sigue InvAtrib F;Sigue InvAtrib G;Porc Toler Pack;Descrip 2 Artic;Estilo;Descripcion corta;SKU;Parte b;Parte c;Parte d;Parte e;Parte f;Std Pack Qty;Apilabilidad;UnMinDespacho;Total de unidades secundarias;Req Nro Lote;Seguimiento de número de serie;Manejo Decimal?;Usuario creado;UM principal
CLID;0069;Pan Hot Dog 16 8p 350g Con Bol HOU;78034732140580;350;9;72;BG;0069;BG;;;1;100234;0;Cantidad de pallet;4;Envases por Bandeja;18;Bandejas por Pallet;Unit of Measure;Codigo de Barredura;;;;False;;28/04/2018 19:19;24/08/2026 10:57;10000115;True;False;False;False;False;;No obligatorio;No obligatorio;No obligatorio;No obligatorio;No obligatorio;No obligatorio;No obligatorio;0;HHotDog8p350g;;;0069;;;;;;4;;;1;True;Not Required;False;lgfwebservice;units
CLID;0299;Pinguinos Tira 4p 160g MLA;7803473542106;160;18;72;BG;0299;BG;PAST;;1;100234;0;Cantidad de pallet;4;Envases por Bandeja;18;Bandejas por Pallet;Unit of Measure;Codigo de Barredura;;;;False;;28/04/2018 19:19;07/02/2023 20:15;lgfwebservice_2;True;False;True;False;False;;No obligatorio;No obligatorio;No obligatorio;No obligatorio;No obligatorio;No obligatorio;No obligatorio;0;;;;0299;;;;;;4;;;1;True;Not Required;False;lgfwebservice;units
CLID;0428;Pan Pita Blanco 8p 344g CJ ID;7803473000767;344;14;120;BCH;0428;BCH;RCKI;;1;100234;0;Cantidad de pallet;4;Envases por Bandeja;30;Bandejas por Pallet;Unit of Measure;Codigo de Barredura;;;;False;;28/04/2018 19:19;18/08/2026 14:14;lgfwebservice_2;True;False;True;False;False;;No obligatorio;No obligatorio;No obligatorio;No obligatorio;No obligatorio;No obligatorio;No obligatorio;0;;;;0428;;;;;;4;;;1;True;Not Required;False;lgfwebservice;units
CLID;0429;Pan Pita Integral 8p 344g CJ ID;7803473000750;344;14;120;BCH;0429;BCH;RCKK;;1;100234;0;Cantidad de pallet;4;Envases por Bandeja;30;Bandejas por Pallet;Unit of Measure;Codigo de Barredura;;;;False;;28/04/2018 19:19;18/08/2026 14:14;lgfwebservice_2;True;False;True;False;False;;No obligatorio;No obligatorio;No obligatorio;No obligatorio;No obligatorio;No obligatorio;No obligatorio;0;;;;0429;;;;;;4;;;1;True;Not Required;False;lgfwebservice;units
CLID;0473;Tortilla 10p 940g Bolsa HOU;7803403000522;940;10;72;BG;0473;BG;TOR;;1;100234;0;Cantidad de pallet;4;Envases por Bandeja;18;Bandejas por Pallet;Unit of Measure;Codigo de Barredura;;;;False;;28/04/2018 19:19;20/07/2026 22:43;lgfwebservice_2;True;False;True;False;False;;No obligatorio;No obligatorio;No obligatorio;No obligatorio;No obligatorio;No obligatorio;No obligatorio;0;Tortilla10p940g;;;0473;;;;;;4;;;1;True;Not Required;False;lgfwebservice;units
CLID;0546;Pan Blanco 1p 650g BIM;7750727112038;650;8;28;BG;0546;BG;;;1;100234;0;Cantidad de pallet;2;Envases por Bandeja;14;Bandejas por Pallet;Unit of Measure;Codigo de Barredura;;;;False;;24/05/2019 07:06;20/03/2026 17:43;lgfwebservice_2;True;False;True;False;False;;No obligatorio;No obligatorio;No obligatorio;No obligatorio;No obligatorio;No obligatorio;No obligatorio;0;BPanBlanco650g;;;0546;;;;;;2;;;1;True;Not Required;False;lgfwebservice;units
CLID;0667;Alfajor Laguito 3p 105g LDS;7803400000839;105;50;120;BCH;0667;BCH;SWALF;;1;100234;0;Cantidad de pallet;4;Envases por Bandeja;30;Bandejas por Pallet;Unit of Measure;Codigo de Barredura;;;;False;;28/04/2018 19:19;20/07/2026 22:44;lgfwebservice_2;True;False;True;False;False;;No obligatorio;No obligatorio;No obligatorio;No obligatorio;No obligatorio;No obligatorio;No obligatorio;0;;;;0667;;;;;;4;;;1;True;Not Required;False;lgfwebservice;units
CLID;0822;Pan Blanco 1p 560g Bolsa ID;7803403002229;560;10;72;BG;0822;BG;XL;;1;100234;0;Cantidad de pallet;4;Envases por Bandeja;18;Bandejas por Pallet;Unit of Measure;Codigo de Barredura;;;;False;;28/04/2018 19:19;20/07/2026 22:44;lgfwebservice_2;True;False;True;False;False;;No obligatorio;No obligatorio;No obligatorio;No obligatorio;No obligatorio;No obligatorio;No obligatorio;0;IPanBlanco560g;;;0822;;;;;;4;;;1;True;Not Required;False;lgfwebservice;units
CLID;100234;BARREDURA CON ENVOLTURA;7790001001153_100234;0;1;0;g;100234;g;;;1;0;0;Cantidad de pallet;0;Envases por Bandeja;0;Bandejas por Pallet;Unit of Measure;Codigo de Barredura;;;;False;;30/04/2018 20:29;28/11/2025 18:43;lgfwebservice_2;True;False;True;False;False;;No obligatorio;No obligatorio;No obligatorio;No obligatorio;No obligatorio;No obligatorio;No obligatorio;0;;;;100234;;;;;;1;;;1;False;Not Required;False;lgfwebservice;units
CLID;100235;BARREDURA SIN ENVOLTURA;7790001001153_100235;0;1;0;g;100235;g;;;1;0;0;Cantidad de pallet;0;Envases por Bandeja;0;Bandejas por Pallet;Unit of Measure;Codigo de Barredura;;;;False;;30/04/2018 20:29;28/11/2025 18:43;lgfwebservice_2;True;False;True;False;False;;No obligatorio;No obligatorio;No obligatorio;No obligatorio;No obligatorio;No obligatorio;No obligatorio;0;;;;100235;;;;;;1;;;1;False;Not Required;False;lgfwebservice;units
