Fecha,Hora,Destino,Proveedor,Valor Flete,Bultos despachados,Costo de los bultos despachados,Bultos empacados,Costo de los bultos empacados,Bitacora,Nro carga,CxQ
17/08/2026,18:52:39,LA SERENA,77636200-K/TRANSPORTES SAN GABRIEL LTDA.,0.0,123,0,0,0,120857,HKOOB37633034,0.0
18/08/2026,01:24:44,RANCAGUA,76252773-1/GARATE Y GARATE LIMITADA,0.0,1853,0,0,0,120861,HKOOB37633047,0.0
18/08/2026,02:02:59,VINA DEL MAR,82623500-4/IDEAL S.A,0.0,1738,0,0,0,120862,HKOOB37635361,0.0
18/08/2026,02:28:34,LO ESPEJO,82623500-4/IDEAL S.A,0.0,1118,0,0,0,48801,HKOOB37635365,0.0
18/08/2026,03:22:47,ANTOFAGASTA,76746317-0/TRAILER LOGISTICS SPA,0.0,2226,0,0,0,120863,HKOOB37635377,0.0
18/08/2026,03:58:24,PTO MONTT,77636200-K/TRANSPORTES SAN GABRIEL LTDA.,0.0,1691,0,0,0,120864,HKOOB37633046,0.0
18/08/2026,04:25:46,MELIPILLA,77970090-9/TRANSPORTES DONA ISIDORA (LABBE),0.0,1579,0,0,0,120865,HKOOB37633054,0.0
18/08/2026,04:40:29,LO ESPEJO,82623500-4/IDEAL S.A,0.0,1140,0,0,0,48815,HKOOB37635366,0.0
18/08/2026,05:10:39,RANCAGUA,82623500-4/IDEAL S.A,0.0,1612,0,0,0,120866,HKOOB37633048,0.0
18/08/2026,05:32:08,LOS ANDES,77970090-9/TRANSPORTES DONA ISIDORA (LABBE),0.0,1716,0,0,0,120867,HKOOB37633052,0.0
18/08/2026,06:33:28,LO ESPEJO,82623500-4/IDEAL S.A,0.0,1320,0,0,0,48822,HKOOB37635367,0.0
18/08/2026,08:39:43,LA SERENA,77832010-K/DISTRIBUIDORA DE ALIMENTOS ELPAC LIMITADA,0.0,1524,0,0,0,120868,HKOOB37633040,0.0
18/08/2026,09:07:29,TALCA,77636200-K/TRANSPORTES SAN GABRIEL LTDA.,0.0,1638,0,0,0,120869,HKOOB37633035,0.0
18/08/2026,11:35:23,CHILLAN,77636200-K/TRANSPORTES SAN GABRIEL LTDA.,0.0,1592,0,0,0,120870,HKOOB37633056,0.0
18/08/2026,11:48:14,LOS ANGELES,77636200-K/TRANSPORTES SAN GABRIEL LTDA.,0.0,1783,0,0,0,120871,HKOOB37633050,0.0
18/08/2026,12:34:37,VINA DEL MAR,82623500-4/IDEAL S.A,0.0,1729,0,0,0,120872,HKOOB37635362,0.0
18/08/2026,12:54:51,TEMUCO,77636200-K/TRANSPORTES SAN GABRIEL LTDA.,0.0,1524,0,0,0,120873,HKOOB37633043,0.0
18/08/2026,15:54:07,LO ESPEJO,82623500-4/IDEAL S.A,0.0,1581,0,0,0,48869,HKOOB37635368,0.0
18/08/2026,16:50:01,TALCA,77636200-K/TRANSPORTES SAN GABRIEL LTDA.,0.0,1627,0,0,0,120874,HKOOB37633036,0.0
18/08/2026,17:14:10,LO ESPEJO,82623500-4/IDEAL S.A,0.0,1273,0,0,0,48874,HKOOB37635369,0.0
18/08/2026,17:33:21,LA SERENA,16575553-7/GABRIEL ALEJANDRO ESTAY CARRAZANA,0.0,1918,0,0,0,120875,HKOOB37639403,0.0
18/08/2026,18:48:47,EL PINAR,82623500-4/IDEAL S.A,0.0,962,0,0,0,48882,HKOOB37635373,0.0
18/08/2026,19:28:18,VINA DEL MAR,82623500-4/IDEAL S.A,0.0,1687,0,0,0,120876,HKOOB37635363,0.0
