Desde,Hasta,Estado,LPNs Env,Bult. Env,Hora de salida
P. Chillán,CEDIS,En transito,24,1440,2026-09-09 14:49:55
Barcel,CEDIS,En transito,24,1696,2026-09-11 22:14:33
Barcel,CEDIS,En transito,24,1600,2026-09-12 05:03:08
P. Chillán,CEDIS,En transito,24,1440,2026-09-12 08:35:04
P. Chillán,CEDIS,En transito,24,1440,2026-09-12 11:40:26
P. Ideal,CEDIS,En transito,22,1121,2026-09-12 15:22:16
Barcel,CEDIS,En transito,24,1544,2026-09-12 15:49:14
P. Ideal,CEDIS,En transito,22,942,2026-09-12 16:11:04
P. Ideal,CEDIS,En transito,22,648,2026-09-12 16:26:13
P. Chillán,CEDIS,En transito,24,1440,2026-09-12 17:01:59
P. Ideal,CEDIS,En transito,22,994,2026-09-12 17:52:46
