Dest;DESTINO
CL032;
CL057;RUTA SOLITARIA
CL062;RUTA SOLITARIA ELPAC
CL064;RUTA SOLITARIA 1059 LV
GAX;
HKL;
HKM;
HKN;
ID001;IQUIQUE
ID002;CALAMA
ID003;ANTOFAGASTA
ID004;COPIAPO
ID005;LA SERENA
ID006;VINA DEL MAR
ID007;TALCA
ID008;LOS ANDES
ID009;CHILLAN
ID010;LO ESPEJO
ID011;TEMUCO
ID012;EL PINAR
ID013;CONCEPCION
ID014;RANCAGUA
ID015;MELIPILLA
ID016;LOS ANGELES
ID017;PTO MONTT
ID018;ARICA
ID019;SAN FERNANDO
ID020;VALDIVIA
ID021;QUILICURA
ID022;GRANDES CLIENTES
ID023;OSORNO
ID032;RUTA SOLITARIA CORCORAN
ID034;SALON P VALDIVIA
ID036;SALON LO ESPEJO
ID037;SALON CA?AVERAL
ID038;SALON CEDIS
ID040;SALON CORTIJO
ID043;SALONES
