Codigo;DescripciÃƒÂ³n de artÃƒÂ­culo;Cod Barra;Peso;Cupo;Cod Jerarq 4;CÃƒÂ³digos de artÃƒÂ­-culos alternativos;Descrip 3 Artic;Familia Envase
0069;Pan Hot Dog 16 8p 350g Con Bol HOU;78034732140580;350;9;72 BG;0069;BG;BANDEJAS
0299;Pinguinos Tira 4p 160g MLA;7803473542106;160;18;72 BG;0299;BG;BANDEJAS
0428;Pan Pita Blanco 8p 344g CJ ID;7803473000767;344;14;120 BCH;0428;BCH;BANDEJAS
0429;Pan Pita Integral 8p 344g CJ ID;7803473000750;344;14;120 BCH;0429;BCH;BANDEJAS
0473;Tortilla 10p 940g Bolsa HOU;7803403000522;940;10;72 BG;0473;BG;BANDEJAS
0546;Pan Blanco 1p 650g BIM;7750727112038;650;8;28 BG;0546;BG;BANDEJAS
0667;Alfajor Laguito 3p 105g LDS;7803400000839;105;50;120 BCH;0667;BCH;BANDEJAS
0822;Pan Blanco 1p 560g Bolsa ID;7803403002229;560;10;72 BG;0822;BG;BANDEJAS
100234;BARREDURA CON ENVOLTURA;7790001001153_100234;0;1;0 g;100234;g;
100235;BARREDURA SIN ENVOLTURA;7790001001153_100235;0;1;0 g;100235;g;
10177;Pan Hamburguesa Artesano 4p 330g ID;7803403002250;330;10;72 BG;10177;BG;BANDEJAS
10298;Pinguinos Chocolate 3p 120g MLA;7803473004840;120;40;72 BG;10298;BG;BANDEJAS
122874;Takis Original 1p 190g Flow BAR EXP;757528024581;190;12;135 CT;122874;CT;CAJAS
123152;Takis Fuego 1ct 2OZ 56g FLOW BAR EXP;757528005276;56;36;117 CU;123152;CU;CAJAS
123153;Mini Takis Fuego 25ct 875g ME BAR EXP;757528009113;4375;1;64 CU;123153;CU;CAJAS
123154;Takis Fuego 1ct 4OZ 113.4g FLOW BAR EXP;757528008796_123154;113.4;16;117 CU;123154;CU;CAJAS
