PROVEEDOR;Origen;DESTINO;COSTOS;Comentario;Columna1;Columna2;Suma de Valor;Etiquetas de columna;Columna3;Columna4;Columna5;Columna6;Columna7
16575553-7/GABRIEL ALEJANDRO ESTAY CARRAZANA;;ANTOFAGASTA;2490000;;;;;;;;;;
16575553-7/GABRIEL ALEJANDRO ESTAY CARRAZANA;;CHILLAN;808488;o;;;;;;;;;
16575553-7/GABRIEL ALEJANDRO ESTAY CARRAZANA;;CONCEPCION;900000;;;;;;;;;;
16575553-7/GABRIEL ALEJANDRO ESTAY CARRAZANA;;LA SERENA;1117080;o;;;;;;;;;
16575553-7/GABRIEL ALEJANDRO ESTAY CARRAZANA;;LO ESPEJO;107125;O;;;;;;;;;
16575553-7/GABRIEL ALEJANDRO ESTAY CARRAZANA;;LOS ANDES;338240;o;;;;;;;;;
16575553-7/GABRIEL ALEJANDRO ESTAY CARRAZANA;;MELIPILLA;338240;o;;;;;;;;;
16575553-7/GABRIEL ALEJANDRO ESTAY CARRAZANA;;RANCAGUA;338240;o;;;;;;;;;
16575553-7/GABRIEL ALEJANDRO ESTAY CARRAZANA;;TALCA;585776;O;;;;;;;;;
16575553-7/GABRIEL ALEJANDRO ESTAY CARRAZANA;;VINA DEL MAR;307240;o;;;;;;;;;
76252773-1/GARATE Y GARATE LIMITADA;;CHILLAN;652030;O;;;;;;;;;
76252773-1/GARATE Y GARATE LIMITADA;;CONCEPCION;700000;;;;;;;;;;
76252773-1/GARATE Y GARATE LIMITADA;;LOS ANDES;292807;O;;;;;;;;;
76252773-1/GARATE Y GARATE LIMITADA;;MELIPILLA;299807;O;;;;;;;;;
76252773-1/GARATE Y GARATE LIMITADA;;NUTRA BIEN;181941;O;;;;;;;;;
76252773-1/GARATE Y GARATE LIMITADA;;RANCAGUA;332303;O;;;;;;;;;
76252773-1/GARATE Y GARATE LIMITADA;;SANTIAGO;90000;O;;;;;;;;;
76252773-1/GARATE Y GARATE LIMITADA;;SAN FERNANDO;368176;O;;;;;;;;;
76252773-1/GARATE Y GARATE LIMITADA;;TALCA;534750;O;;;;;;;;;
76252773-1/GARATE Y GARATE LIMITADA;;TALCA - SAN FERNANDO;412000;;;;;;;;;;
76252773-1/GARATE Y GARATE LIMITADA;;VINA DEL MAR;335704;O;;;;;;;;;
76746317-0/TRAILER LOGISTICS SPA;;ACASA;190000;;;;;;;;;;
76746317-0/TRAILER LOGISTICS SPA;;ANTOFAGASTA;3249355;O;;;;;;;;;
76746317-0/TRAILER LOGISTICS SPA;;ANTOFAGASTA DOBLE PISO;3249355;;;;;;;;;;
76746317-0/TRAILER LOGISTICS SPA;;ARICA;2800000;;;;;;;;;;
76746317-0/TRAILER LOGISTICS SPA;;BARCEL;190000;;;;;;;;;;
76746317-0/TRAILER LOGISTICS SPA;;CALAMA;2520000;;;;;;;;;;
76746317-0/TRAILER LOGISTICS SPA;;CHILLAN;790000;;;;;;;;;;
76746317-0/TRAILER LOGISTICS SPA;;CONCEPCION;1325618;O;;;;;;;;;
76746317-0/TRAILER LOGISTICS SPA;;CONCEPCION DOBLE PISO;1325618;;;;;;;;;;
76746317-0/TRAILER LOGISTICS SPA;;COPIAPO;1550000;;;;;;;;;;
76746317-0/TRAILER LOGISTICS SPA;;INTERPLANTA;190000;;;;;;;;;;
76746317-0/TRAILER LOGISTICS SPA;;IQUIQUE;2700000;;;;;;;;;;
76746317-0/TRAILER LOGISTICS SPA;;LA SERENA;1100000;;;;;;;;;;
76746317-0/TRAILER LOGISTICS SPA;;LOS ANGELES;988125;;;;;;;;;;
76746317-0/TRAILER LOGISTICS SPA;;MELIPILLA;220000;;;;;;;;;;
76746317-0/TRAILER LOGISTICS SPA;;NUTRA BIEN;250000;;;;;;;;;;
76746317-0/TRAILER LOGISTICS SPA;;Talagante;250000;;;;;;;;;;
76746317-0/TRAILER LOGISTICS SPA;;TALCA;580000;;;;;;;;;;
76746317-0/TRAILER LOGISTICS SPA;;TALCA - SAN FERNANDO;580000;;;;;;;;;;
76746317-0/TRAILER LOGISTICS SPA;;TEMUCO;1000000;;;;;;;;;;
76746317-0/TRAILER LOGISTICS SPA;;VINA DEL MAR;360000;;;;;;;;;;
