Fecha,Saturación,N° de pallets
2026-08-21 00:01:26.131433,144.55,159
2026-08-21 00:25:55.519722,150.91,166
2026-08-21 00:52:06.374811,131.82,145
2026-08-21 01:16:33.777609,150.91,166
2026-08-21 01:41:07.296462,153.64,169
2026-08-21 02:07:21.344554,143.64,158
2026-08-21 02:31:50.784462,122.73,135
2026-08-21 02:56:29.137997,137.27,151
2026-08-21 03:21:40.238315,130.91,144
2026-08-21 03:46:19.272680,141.82,156
2026-08-21 04:10:55.258290,130.91,144
2026-08-21 04:35:27.542315,120.0,132
2026-08-21 04:59:57.240561,103.64,114
2026-08-21 05:24:22.086656,116.36,128
2026-08-21 05:48:50.693001,147.27,162
2026-08-21 06:13:18.888031,159.09,175
2026-08-21 06:37:42.963914,180.91,199
2026-08-21 07:02:09.312949,180.91,199
2026-08-21 07:28:25.648183,180.91,199
2026-08-21 07:52:46.149465,180.91,199
2026-08-21 08:17:21.317058,180.18,199
2026-08-21 08:42:08.128381,168.18,185
2026-08-21 09:06:54.368736,176.36,194
2026-08-21 09:31:30.426677,173.64,191
2026-08-21 09:58:28.307988,168.18,185
2026-08-21 10:23:27.700448,160.0,176
2026-08-21 10:33:55.127279,160.0,176
2026-08-21 10:37:22.236781,150.0,165
2026-08-21 10:40:50.449242,150.91,166
2026-08-21 10:48:32.097154,151.82,167
2026-08-21 10:57:06.907531,154.55,170
2026-08-21 12:20:39.634076,93.64,103
2026-08-21 12:48:56.359662,76.36,84
2026-08-21 12:49:10.316450,76.36,84
2026-08-21 12:52:31.687493,76.36,84
2026-08-21 12:55:58.448282,61.82,68
2026-08-21 13:15:05.223600,70.91,78
2026-08-21 13:40:17.207527,70.91,78
2026-08-21 14:05:24.811944,70.91,78
2026-08-21 14:30:25.981528,61.82,68
