Sucurs;Cod Cia;Nro LPN;Nro de Sello;Nro Activo;Peso;Volum;Nro Seguimiento;Nro Tracking Maestro;Nro Orden;Nro OC;Ruta Externa;Tipo;Estado LPN;Estilo;Codigo;Cod Barra Prod;UnEmpac;Cupo;Es principal;CÃ³digos de artÃ­-culos alternativos;DescripciÃ³n de artÃ­culo;Ubic Pick;Cantidad Asignada;Cant. Empacada;Cantidad (Pza);Nro Cliente;Ciudad Clte;Dest;Estado Audit;Ubic Actual;Nro Palet;Nombre Clte;Cod Postal;OC Cliente;Comp Dest;Ref Carton;Ref Nro OC;LPN Fe y Hr Creac;LPN Fe Y Hr Modif;Usua Pick;Detail Pick User;Detail Picked Time;Usua Pick;Usua Packing;Fe Hr Packing;Unidades para niÃƒÂ±os actuales;Ruta;Cod Jerarq 1;Cod Jerarq 2;Cod Jerarq 3;Cod Jerarq 4;Cod Jerarq 5;Jerarq1;Jeraq Item 2;Jerarq3;Jerarq4;Categoria;LPN Usuario Modificac;Nro Ejecuc;Asig Usuario Mod;Asig FeyHr Creac;Asig FeyHr Modif;Tipo Contened;Vol LPN;Nro Lote;Attribute A;Cod Bloq De Lote;Etiq Prc Impresa;Es Pqte;Ver nÃºmero de serie;Long;Ancho;Alto;CodBloq;Nro Transp Recib;Porc Toler Pack;Asignación - Ubicación de selección;Etiqueta de envío: último registro de hora impreso;Etiqueta de LPN de salida: último registro de hora impreso;Etiqueta de contenido de LPN de salida: último registro de hora impreso
HKL;CLID;="169265100343825";;;34800;3.24;;;="10954973";;;FULL-CONTAINER;Empacado;;="506315";="7803403003936";4;10;False;="506315";Pan Blanco 1p 580g BOLSA ID;None;60;60;60;;;HKO;No obligatorio;None;;;;;*;;;23/09/2026 21:23:18;23/09/2026 21:23:38;gcastilie;gcastilie;23/09/2026 21:23:38;gcastilie;gcastilie;23/09/2026 21:23:38;60;HKO;0;4;15;60 BG;100234;Cantidad de pallet;Envases por Bandeja;Bandejas por Pallet;Unit of Measure;Codigo de Barredura;gcastilie;;gcastilie;23/09/2026 21:23:18;23/09/2026 21:23:38;;;HKL110B230926;="300022452970304";;False;0;;0;0;0;0;;0;;;;
HKL;CLID;="169265100344285";;;17500;1.5;;;="11149675";;;FULL-CONTAINER;Empacado;;="29586";="7803403295867";5;18;False;="29586";Pan Pascua FS 1p 700g BOLSA ID;None;25;25;25;;;HKO;No obligatorio;None;;;;;*;;;23/09/2026 20:34:30;23/09/2026 20:35:03;gcastilie;gcastilie;23/09/2026 20:35:03;gcastilie;gcastilie;23/09/2026 20:35:03;25;HKO;0;5;9;45 CG;100234;Cantidad de pallet;Envases por Bandeja;Bandejas por Pallet;Unit of Measure;Codigo de Barredura;gcastilie;;gcastilie;23/09/2026 20:34:30;23/09/2026 20:35:03;;;HKL141A230926;="300022431852463";;False;0;;0;0;0;0;;0;;;;
HKL;CLID;="169265100344284";;;17500;1.5;;;="11149675";;;FULL-CONTAINER;Empacado;;="29586";="7803403295867";5;18;False;="29586";Pan Pascua FS 1p 700g BOLSA ID;None;25;25;25;;;HKO;No obligatorio;None;;;;;*;;;23/09/2026 20:33:50;23/09/2026 20:34:00;gcastilie;gcastilie;23/09/2026 20:34:00;gcastilie;gcastilie;23/09/2026 20:34:00;25;HKO;0;5;9;45 CG;100234;Cantidad de pallet;Envases por Bandeja;Bandejas por Pallet;Unit of Measure;Codigo de Barredura;gcastilie;;gcastilie;23/09/2026 20:33:50;23/09/2026 20:34:00;;;HKL141A230926;="300022431852463";;False;0;;0;0;0;0;;0;;;;
HKL;CLID;="169265100344283";;;17500;1.5;;;="11149675";;;FULL-CONTAINER;Empacado;;="29586";="7803403295867";5;18;False;="29586";Pan Pascua FS 1p 700g BOLSA ID;None;25;25;25;;;HKO;No obligatorio;None;;;;;*;;;23/09/2026 20:33:30;23/09/2026 20:33:33;gcastilie;gcastilie;23/09/2026 20:33:33;gcastilie;gcastilie;23/09/2026 20:33:33;25;HKO;0;5;9;45 CG;100234;Cantidad de pallet;Envases por Bandeja;Bandejas por Pallet;Unit of Measure;Codigo de Barredura;gcastilie;;gcastilie;23/09/2026 20:33:30;23/09/2026 20:33:33;;;HKL141A230926;="300022431852463";;False;0;;0;0;0;0;;0;;;;
HKL;CLID;="169265100343575";;;17500;1.5;;;="11149675";;;FULL-CONTAINER;Empacado;;="29586";="7803403295867";5;18;False;="29586";Pan Pascua FS 1p 700g BOLSA ID;None;25;25;25;;;HKO;No obligatorio;None;;;;;*;;;23/09/2026 20:32:53;23/09/2026 20:33:26;gcastilie;gcastilie;23/09/2026 20:33:26;gcastilie;gcastilie;23/09/2026 20:33:26;25;HKO;0;5;9;45 CG;100234;Cantidad de pallet;Envases por Bandeja;Bandejas por Pallet;Unit of Measure;Codigo de Barredura;gcastilie;;gcastilie;23/09/2026 20:32:53;23/09/2026 20:33:26;;;HKL141A230926;="300022431852463";;False;0;;0;0;0;0;;0;;;;
HKL;CLID;="169265100343580";;;17500;1.5;;;="11149675";;;FULL-CONTAINER;Empacado;;="29586";="7803403295867";5;18;False;="29586";Pan Pascua FS 1p 700g BOLSA ID;None;25;25;25;;;HKO;No obligatorio;None;;;;;*;;;23/09/2026 20:28:04;23/09/2026 20:28:10;gcastilie;gcastilie;23/09/2026 20:28:10;gcastilie;gcastilie;23/09/2026 20:28:10;25;HKO;0;5;9;45 CG;100234;Cantidad de pallet;Envases por Bandeja;Bandejas por Pallet;Unit of Measure;Codigo de Barredura;gcastilie;;gcastilie;23/09/2026 20:28:04;23/09/2026 20:28:10;;;HKL141A230926;="300022431852463";;False;0;;0;0;0;0;;0;;;;
HKL;CLID;="169265100343579";;;17500;1.5;;;="11149675";;;FULL-CONTAINER;Empacado;;="29586";="7803403295867";5;18;False;="29586";Pan Pascua FS 1p 700g BOLSA ID;None;25;25;25;;;HKO;No obligatorio;None;;;;;*;;;23/09/2026 20:27:54;23/09/2026 20:28:00;gcastilie;gcastilie;23/09/2026 20:28:00;gcastilie;gcastilie;23/09/2026 20:28:00;25;HKO;0;5;9;45 CG;100234;Cantidad de pallet;Envases por Bandeja;Bandejas por Pallet;Unit of Measure;Codigo de Barredura;gcastilie;;gcastilie;23/09/2026 20:27:54;23/09/2026 20:28:00;;;HKL141A230926;="300022431852463";;False;0;;0;0;0;0;;0;;;;
HKL;CLID;="169265100343578";;;17500;1.5;;;="11149675";;;FULL-CONTAINER;Empacado;;="29586";="7803403295867";5;18;False;="29586";Pan Pascua FS 1p 700g BOLSA ID;None;25;25;25;;;HKO;No obligatorio;None;;;;;*;;;23/09/2026 20:27:45;23/09/2026 20:27:50;gcastilie;gcastilie;23/09/2026 20:27:50;gcastilie;gcastilie;23/09/2026 20:27:50;25;HKO;0;5;9;45 CG;100234;Cantidad de pallet;Envases por Bandeja;Bandejas por Pallet;Unit of Measure;Codigo de Barredura;gcastilie;;gcastilie;23/09/2026 20:27:45;23/09/2026 20:27:50;;;HKL141A230926;="300022431852463";;False;0;;0;0;0;0;;0;;;;
HKL;CLID;="169265100343577";;;17500;1.5;;;="11149675";;;FULL-CONTAINER;Empacado;;="29586";="7803403295867";5;18;False;="29586";Pan Pascua FS 1p 700g BOLSA ID;None;25;25;25;;;HKO;No obligatorio;None;;;;;*;;;23/09/2026 20:27:34;23/09/2026 20:27:40;gcastilie;gcastilie;23/09/2026 20:27:40;gcastilie;gcastilie;23/09/2026 20:27:40;25;HKO;0;5;9;45 CG;100234;Cantidad de pallet;Envases por Bandeja;Bandejas por Pallet;Unit of Measure;Codigo de Barredura;gcastilie;;gcastilie;23/09/2026 20:27:34;23/09/2026 20:27:40;;;HKL141A230926;="300022431852463";;False;0;;0;0;0;0;;0;;;;
HKL;CLID;="169265100343576";;;17500;1.5;;;="11149675";;;FULL-CONTAINER;Empacado;;="29586";="7803403295867";5;18;False;="29586";Pan Pascua FS 1p 700g BOLSA ID;None;25;25;25;;;HKO;No obligatorio;None;;;;;*;;;23/09/2026 20:27:24;23/09/2026 20:27:30;gcastilie;gcastilie;23/09/2026 20:27:30;gcastilie;gcastilie;23/09/2026 20:27:30;25;HKO;0;5;9;45 CG;100234;Cantidad de pallet;Envases por Bandeja;Bandejas por Pallet;Unit of Measure;Codigo de Barredura;gcastilie;;gcastilie;23/09/2026 20:27:24;23/09/2026 20:27:30;;;HKL141A230926;="300022431852463";;False;0;;0;0;0;0;;0;;;;
